study_hours,sleep_hours,result
8,4,1
0,7,0
8,5,1
2,9,0
8,5,1
5,7,1
2,4,0
0,4,0
10,8,1
6,5,1
0,4,0
7,9,1
6,6,1
1,6,0
5,4,1
7,8,1
0,9,0
2,6,0
7,8,1
3,8,0
7,8,1
4,6,0
7,6,1
6,6,1
5,8,1
1,5,0
8,8,1
2,9,0
4,8,0
5,6,1
0,9,0
10,9,1
3,4,0
7,9,1
4,4,0
3,9,0
4,9,0
4,9,0
6,9,1
0,6,0
5,7,1
7,4,1
9,4,1
4,9,0
6,5,1
5,5,1
5,4,1
6,4,1
8,4,1
2,6,0
5,8,1
0,6,0
1,4,0
2,6,0
7,8,1
7,4,1
1,7,0
5,8,1
4,4,0
7,7,1
7,5,1
1,7,0
3,9,0
10,9,1
4,4,0
10,5,1
1,6,0
5,8,1
8,7,1
0,8,0
2,7,0
6,7,1
2,7,0
4,7,0
9,7,1
2,8,0
0,7,0
4,4,0
6,5,1
7,7,1
1,7,0
4,4,0
4,4,0
8,5,1
5,8,1
5,6,1
4,5,0
8,4,1
5,7,1
2,5,0
5,8,1
10,5,1
8,9,1
7,9,1
3,8,0
8,5,1
9,5,1
1,6,0
9,5,1
10,6,1
